user_name;tweet;personal (0=no, 1=yes);tweet_proc
_JenniferLyne;Seven yoga poses for diabetes https://t.co/B68SbSYavh;0;['seven', 'yoga', 'pose', 'diabet', 'URL']
marguerite3636d;#reversediabetes now ➤ https://t.co/PDEsqoaou8 ♥ Could the TB vaccine cure type 1 diabetes? Scientists 'discover BCG jab can reverse the d…;0;['reversediabet', 'URL', 'could', 'tb', 'vaccin', 'cure', 'TYPEONE', 'diabet', 'scientist', 'wouldiscov', 'bcg', 'jab', 'revers']
amandajohnjones;The occurrence of #hypoglycemia can pose a serious threat, As it can result in seizure, loss of consciousness or even death #diabetes;0;['occurr', 'hypoglycemia', 'pose', 'serious', 'threat', 'result', 'seizur', 'loss', 'conscious', 'even', 'death', 'diabet']
Healthcheqs;Others talk - we help! Improve public #health in #Zimbabwe: Like our Facebook page https://t.co/cxy07MTYUB #diabetes #stroke #africa;0;['other', 'talk', 'help', 'improv', 'public', 'health', 'zimbabw', 'like', 'facebook', 'page', 'URL', 'diabet', 'stroke', 'africa']
70_130;A three-month road trip (by a real diabetic) to raise money for JDRF. Donate here! https://t.co/ZXmPDiPnRH;1;['three-month', 'road', 'trip', 'real', 'diabet', 'rais', 'money', 'jdrf', 'donat', 'URL']
HealthyWrld;Bioengineers create more durable, versatile wearable for diabetes monitoring https://t.co/rBsnzyY1k8;0;['bioengin', 'creat', 'durabl', 'versatil', 'wearabl', 'diabet', 'monitor', 'URL']
LowCarbAndKeto;Many high-quality scientific studies show that a #lowcarbdiet makes it easier both to #loseweight and to control your #bloodsugar.;0;['mani', 'high-qual', 'scientif', 'studi', 'show', 'lowcarbdiet', 'make', 'easier', 'loseweight', 'control', 'bloodsugar']
hammondfuturist;A wearable that can detect diabetes and cystic fibrosis in your sweat. #futurist https://t.co/DKjxyVK2cF;0;['wearabl', 'detect', 'diabet', 'cystic', 'fibrosi', 'sweat', 'futurist', 'URL']
DrYolandaLoafer;The latest Functional #Medicine Daily! https://t.co/L0xRazRN7c Thanks to @rewilliams676 @SarahLeeAnne @Peta_de_Aztlan #glutenfree #diabetes;0;['latest', 'function', 'medicin', 'daili', 'URL', 'thank', 'USER', 'USER', 'USER', 'glutenfre', 'diabet']
DrAnojanMD;Nearly half of adults with type 2 diabetes worldwide are unaware of their condition https://t.co/REfzBQBrrx;0;['near', 'half', 'adult', 'TYPETWO', 'diabet', 'worldwid', 'unawar', 'condit', 'URL']
AmDiabetesAssn;Knowing your risk is the first step to preventing or delaying #type2diabetes. https://t.co/K9pKGSCqTq;0;['know', 'risk', 'first', 'step', 'prevent', 'delay', 'TYPETWO', 'URL']
EverydayHealth;8 supplements that may help diabetes: https://t.co/qWDefAuk04 https://t.co/Gh3EKDygyS;0;['8', 'supplement', 'may', 'help', 'diabet', 'URL', 'URL']
NLOT2Diabetes;"Do you smoke?  Smoking can increase your risk of developing #diabetes or making it worse. Learn more here.  
https://t.co/NA4YjQsYgk";0;['smoke', 'smoke', 'increas', 'risk', 'develop', 'diabet', 'make', 'wors', 'learn', 'URL']
bobbit2266;"From insulin resistance to cancer, the #ketogenic diet may be the perfect way to prevent serious health problems. https://t.co/cNj6A97xRt
…";0;['insulin', 'resist', 'cancer', 'ketogen', 'diet', 'may', 'perfect', 'way', 'prevent', 'serious', 'health', 'problem', 'URL']
my_dario;Diagnosed in the '70s, Scott reflects on how his life with diabetes has changed in the last 40 years. https://t.co/sO21SOgtek;0;['diagnos', '70s', 'scott', 'reflect', 'life', 'diabet', 'chang', 'last', '40', 'year', 'URL']
elfgagi;The latest The elfgagi T1D Daily! https://t.co/U1o62XEG2r Thanks to @my_dario #diabetes #doc;0;['latest', 'elfgagi', 'TYPEONE', 'daili', 'URL', 'thank', 'USER', 'diabet', 'doc']
diabetescheck;The latest The Diabetes Dayli! https://t.co/124iPtuXO3 Thanks to @BriFroehlich @Helen_Creates @imbutho #diabetes #health;0;['latest', 'diabet', 'dayli', 'URL', 'thank', 'USER', 'USER', 'USER', 'diabet', 'health']
MagsForCharity;The latest Diabetes Daily! https://t.co/vxQ0HleKsR #t1d #dblog;0;['latest', 'diabet', 'daili', 'URL', 'TYPEONE', 'dblog']
LapBandTips;Comorbities that improve with #WeightLoss: sleep apnea, diabetes, osteoarthritis, GERD (Gastroesophageal reflux disease). #LapBand;0;['comorb', 'improv', 'weightloss', 'sleep', 'apnea', 'diabet', 'osteoarthr', 'gerd', 'gastroesophag', 'reflux', 'diseas', 'lapband']
ASNKidney;Novel tissue-engineered islet transplant achieves #insulin independence in type 1 #diabetes | https://t.co/4L3MLAyR6h;0;['novel', 'tissue-engin', 'islet', 'transplant', 'achiev', 'insulin', 'independ', 'TYPEONE', 'diabet', 'URL']
LisWarren;"@caspertown42 @diabeticswithed @parthaskar Thanks 4sharing Paul. It refers to anorexia &amp;bulimia, wonder when binge… https://t.co/TaLOoBPESx";1;['USER', 'USER', 'USER', 'thank', '4share', 'paul', 'refer', 'anorexia', 'bulimia', 'wonder', 'bing', 'URL']
